fecha;abrir;max;min;cierre;cierre_ajus;
04-08-2023;1,8673;1,8673;1,8673;1,8673;1,8673;
03-08-2023;1,8475;1,8475;1,8475;1,8475;1,8475;
02-08-2023;1,8703;1,8703;1,8703;1,8703;1,8703;
01-08-2023;1,8645;1,8645;1,8645;1,8645;1,8645;
31-07-2023;1,8502;1,8502;1,8502;1,8502;1,8502;
28-07-2023;1,8394;1,8394;1,8394;1,8394;1,8394;
27-07-2023;1,8396;1,8396;1,8396;1,8396;1,8396;
26-07-2023;1,8427;1,8427;1,8427;1,8427;1,8427;
25-07-2023;1,8284;1,8284;1,8284;1,8284;1,8284;
24-07-2023;1,8402;1,8402;1,8402;1,8402;1,8402;
21-07-2023;1,8362;1,8362;1,8362;1,8362;1,8362;
20-07-2023;1,8632;1,8632;1,8632;1,8632;1,8632;
19-07-2023;1,8640;1,8640;1,8640;1,8640;1,8640;
18-07-2023;1,8502;1,8502;1,8502;1,8502;1,8502;
17-07-2023;1,8418;1,8418;1,8418;1,8418;1,8418;
14-07-2023;1,8571;1,8571;1,8571;1,8571;1,8571;
13-07-2023;1,8292;1,8292;1,8292;1,8292;1,8292;
12-07-2023;1,8199;1,8199;1,8199;1,8199;1,8199;
11-07-2023;1,8058;1,8058;1,8058;1,8058;1,8058;
10-07-2023;1,8104;1,8104;1,8104;1,8104;1,8104;
07-07-2023;1,8243;1,8243;1,8243;1,8243;1,8243;
06-07-2023;1,8228;1,8228;1,8228;1,8228;1,8228;
05-07-2023;1,8194;1,8194;1,8194;1,8194;1,8194;
04-07-2023;1,8190;1,8190;1,8190;1,8190;1,8190;
03-07-2023;1,8220;1,8220;1,8220;1,8220;1,8220;
30-06-2023;1,7988;1,7988;1,7988;1,7988;1,7988;
29-06-2023;1,7949;1,7949;1,7949;1,7949;1,7949;
28-06-2023;1,7923;1,7923;1,7923;1,7923;1,7923;
27-06-2023;1,7776;1,7776;1,7776;1,7776;1,7776;
26-06-2023;1,8142;1,8142;1,8142;1,8142;1,8142;
23-06-2023;1,8299;1,8299;1,8299;1,8299;1,8299;
22-06-2023;1,8160;1,8160;1,8160;1,8160;1,8160;
21-06-2023;1,8483;1,8483;1,8483;1,8483;1,8483;
20-06-2023;1,8354;1,8354;1,8354;1,8354;1,8354;
19-06-2023;1,8333;1,8333;1,8333;1,8333;1,8333;
16-06-2023;1,8489;1,8489;1,8489;1,8489;1,8489;
15-06-2023;1,8231;1,8231;1,8231;1,8231;1,8231;
14-06-2023;1,8184;1,8184;1,8184;1,8184;1,8184;
13-06-2023;1,8104;1,8104;1,8104;1,8104;1,8104;
12-06-2023;1,7803;1,7803;1,7803;1,7803;1,7803;
